
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1392
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3002           0.0.0.0:0              LISTENING       10672
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       3360
  TCP    0.0.0.0:5432           0.0.0.0:0              LISTENING       7028
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       16608
  TCP    0.0.0.0:18618          0.0.0.0:0              LISTENING       9468
  TCP    0.0.0.0:24108          0.0.0.0:0              LISTENING       23228
  TCP    0.0.0.0:24508          0.0.0.0:0              LISTENING       9468
  TCP    0.0.0.0:27036          0.0.0.0:0              LISTENING       11644
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1080
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       400
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1812
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3004
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4316
  TCP    0.0.0.0:49678          0.0.0.0:0              LISTENING       1036
  TCP    0.0.0.0:53496          0.0.0.0:0              LISTENING       15700
  TCP    0.0.0.0:56018          0.0.0.0:0              LISTENING       9468
  TCP    127.0.0.1:3002         127.0.0.1:50348        ESTABLISHED     10672
  TCP    127.0.0.1:3002         127.0.0.1:53245        ESTABLISHED     10672
  TCP    127.0.0.1:3002         127.0.0.1:58557        ESTABLISHED     10672
  TCP    127.0.0.1:3002         127.0.0.1:61552        ESTABLISHED     10672
  TCP    127.0.0.1:3002         127.0.0.1:62786        ESTABLISHED     10672
  TCP    127.0.0.1:3002         127.0.0.1:64130        ESTABLISHED     10672
  TCP    127.0.0.1:3002         127.0.0.1:64431        TIME_WAIT       0
  TCP    127.0.0.1:9101         0.0.0.0:0              LISTENING       15700
  TCP    127.0.0.1:9222         0.0.0.0:0              LISTENING       18380
  TCP    127.0.0.1:9222         127.0.0.1:64233        ESTABLISHED     18380
  TCP    127.0.0.1:11434        0.0.0.0:0              LISTENING       300
  TCP    127.0.0.1:18618        127.0.0.1:50741        ESTABLISHED     9468
  TCP    127.0.0.1:18618        127.0.0.1:57774        ESTABLISHED     9468
  TCP    127.0.0.1:18618        127.0.0.1:57775        ESTABLISHED     9468
  TCP    127.0.0.1:18618        127.0.0.1:57776        ESTABLISHED     9468
  TCP    127.0.0.1:18618        127.0.0.1:57777        ESTABLISHED     9468
  TCP    127.0.0.1:18618        127.0.0.1:57778        ESTABLISHED     9468
  TCP    127.0.0.1:18618        127.0.0.1:63646        ESTABLISHED     9468
  TCP    127.0.0.1:18618        127.0.0.1:63647        ESTABLISHED     9468
  TCP    127.0.0.1:18618        127.0.0.1:63648        ESTABLISHED     9468
  TCP    127.0.0.1:18618        127.0.0.1:63649        ESTABLISHED     9468
  TCP    127.0.0.1:18618        127.0.0.1:63651        ESTABLISHED     9468
  TCP    127.0.0.1:18618        127.0.0.1:63652        ESTABLISHED     9468
  TCP    127.0.0.1:20241        0.0.0.0:0              LISTENING       8728
  TCP    127.0.0.1:23519        0.0.0.0:0              LISTENING       9468
  TCP    127.0.0.1:27060        0.0.0.0:0              LISTENING       11644
  TCP    127.0.0.1:50348        127.0.0.1:3002         ESTABLISHED     18472
  TCP    127.0.0.1:50487        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:50488        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:50489        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:50741        127.0.0.1:18618        ESTABLISHED     10692
  TCP    127.0.0.1:52778        127.0.0.1:60252        ESTABLISHED     13080
  TCP    127.0.0.1:52779        127.0.0.1:60251        ESTABLISHED     13080
  TCP    127.0.0.1:53245        127.0.0.1:3002         ESTABLISHED     18472
  TCP    127.0.0.1:53302        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:53303        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:53304        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:53313        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:53314        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:53315        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:56342        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:56343        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:56344        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:56990        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:56991        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:56992        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:57683        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:57684        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:57685        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:57774        127.0.0.1:18618        ESTABLISHED     20072
  TCP    127.0.0.1:57775        127.0.0.1:18618        ESTABLISHED     20072
  TCP    127.0.0.1:57776        127.0.0.1:18618        ESTABLISHED     20072
  TCP    127.0.0.1:57777        127.0.0.1:18618        ESTABLISHED     20072
  TCP    127.0.0.1:57778        127.0.0.1:18618        ESTABLISHED     20072
  TCP    127.0.0.1:58190        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:58192        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:58557        127.0.0.1:3002         ESTABLISHED     18472
  TCP    127.0.0.1:59524        0.0.0.0:0              LISTENING       14684
  TCP    127.0.0.1:59731        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:59732        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:59733        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:60251        0.0.0.0:0              LISTENING       11644
  TCP    127.0.0.1:60251        127.0.0.1:52779        ESTABLISHED     11644
  TCP    127.0.0.1:60252        0.0.0.0:0              LISTENING       11644
  TCP    127.0.0.1:60252        127.0.0.1:52778        ESTABLISHED     11644
  TCP    127.0.0.1:60597        127.0.0.1:3002         TIME_WAIT       0
  TCP    127.0.0.1:60598        127.0.0.1:3002         TIME_WAIT       0
